Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability per pair and bandwidth,2,200.0Gbps,4,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,1,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,2,14, ,0.7925925925925926,0.7424812030075187,0.7253886010362695,0.6862348178137652,0.7739837398373983,0.7118055555555556,0.7156133828996283,0.7802768166089965,0.7281021897810219,0.7680140597539543
Blocking probability per pair and bandwidth,2,200.0Gbps,5,11, ,0.007766990291262136,0.016483516483516484,0.011342155009451797,0.0313588850174216,0.01950354609929078,0.015358361774744027,0.028409090909090908,0.02992957746478873,0.02768166089965398,0.029354207436399216
Blocking probability per pair and bandwidth,2,200.0Gbps,11,9, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,6,9, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,2,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,2,8, ,0.685251798561151,0.7122557726465364,0.6402877697841727,0.6544117647058824,0.6336283185840708,0.6127049180327869,0.6384180790960452,0.7085514834205934,0.6722222222222223,0.6139705882352942
Blocking probability per pair and bandwidth,2,200.0Gbps,6,4, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,11,3, ,0.30725190839694655,0.3689839572192513,0.27007299270072993,0.25981308411214954,0.2765151515151515,0.22401433691756273,0.274582560296846,0.24014336917562723,0.25272727272727274,0.2459605026929982
Blocking probability per pair and bandwidth,2,200.0Gbps,3,7, ,0.46379310344827585,0.4653846153846154,0.42124542124542125,0.35018050541516244,0.33980582524271846,0.4075471698113208,0.5364120781527532,0.3559322033898305,0.4265975820379965,0.41869158878504675
Blocking probability per pair and bandwidth,2,200.0Gbps,3,5, ,0.2876712328767123,0.2581888246628131,0.2761904761904762,0.21428571428571427,0.2198952879581152,0.2958015267175573,0.2786259541984733,0.2607913669064748,0.32633587786259544,0.2833935018050541
Blocking probability per pair and bandwidth,2,200.0Gbps,8,1, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,2,13, ,0.3787878787878788,0.38596491228070173,0.35901926444833626,0.34701492537313433,0.3594890510948905,0.3935018050541516,0.376865671641791,0.3583180987202925,0.3717277486910995,0.39679715302491103
