Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability per pair,2,all,4,6, ,0.08726003490401396,0.07291666666666667,0.052336448598130844,0.10035211267605634,0.056896551724137934,0.05172413793103448,0.06043956043956044,0.0641025641025641,0.08469055374592833,0.07445008460236886
Blocking probability per pair,2,all,4,11, ,0.027777777777777776,0.00922509225092251,0.007312614259597806,0.014598540145985401,0.008048289738430584,0.014571948998178506,0.017509727626459144,0.01834862385321101,0.037096774193548385,0.030852994555353903
Blocking probability per pair,2,all,11,4, ,0.028462998102466792,0.009157509157509158,0.012939001848428836,0.008818342151675485,0.007561436672967864,0.034026465028355386,0.02394106813996317,0.008992805755395683,0.03350970017636684,0.009259259259259259
Blocking probability per pair,2,all,4,8, ,0.6678445229681979,0.7306967984934086,0.6975881261595547,0.7228260869565217,0.70817843866171,0.7756183745583038,0.7355679702048417,0.7385159010600707,0.6927175843694494,0.6913123844731978
Blocking probability per pair,2,all,5,10, ,0.0703125,0.03272727272727273,0.05,0.05154639175257732,0.06607142857142857,0.07454545454545454,0.06666666666666667,0.05693950177935943,0.06093189964157706,0.07050092764378478
Blocking probability per pair,2,all,12,6, ,0.5825932504440497,0.6174377224199288,0.49906890130353815,0.5054945054945055,0.49625468164794007,0.5168738898756661,0.5764499121265377,0.525390625,0.56,0.6041275797373359
Blocking probability per pair,2,all,2,5, ,0.26537216828478966,0.32667876588021777,0.3088480801335559,0.2508591065292096,0.2772963604852686,0.32368896925858953,0.3065134099616858,0.3493150684931507,0.2940038684719536,0.3019538188277087
Blocking probability per pair,2,all,13,3, ,0.8371278458844134,0.8181818181818182,0.7958115183246073,0.7977099236641222,0.7584369449378331,0.7387218045112782,0.8240740740740741,0.744466800804829,0.8155893536121673,0.8377896613190731
Blocking probability per pair,2,all,1,13, ,0.7962648556876061,0.7106164383561644,0.7009174311926606,0.7014652014652014,0.7306338028169014,0.7710196779964222,0.6949152542372882,0.7454873646209387,0.7223168654173765,0.7142857142857143
Blocking probability per pair,2,all,9,2, ,0.9786821705426356,0.9830508474576272,0.9614035087719298,0.9828571428571429,0.9909255898366606,0.9718804920913884,0.982078853046595,0.9675090252707581,0.9826589595375722,0.9849340866290018
Blocking probability per pair,2,all,13,2, ,0.8673076923076923,0.8870151770657673,0.891566265060241,0.878731343283582,0.9220272904483431,0.8743169398907104,0.829073482428115,0.8722222222222222,0.875222816399287,0.8477443609022557
Blocking probability per pair,2,all,8,6, ,0.9586330935251799,0.9557522123893806,0.9436363636363636,0.9139579349904398,0.9252336448598131,0.9092558983666061,0.937381404174573,0.8847583643122676,0.9377358490566038,0.9440298507462687
Blocking probability per pair,2,all,4,9, ,0.8464285714285714,0.7669724770642202,0.7416829745596869,0.8069852941176471,0.7836812144212524,0.8394833948339483,0.7943396226415095,0.8120805369127517,0.8336448598130841,0.79073756432247
Blocking probability per pair,2,all,8,3, ,0.9891500904159132,0.9912891986062717,0.9822380106571936,0.9928698752228164,0.9879931389365352,0.981549815498155,0.9791666666666666,0.9868667917448405,0.9924812030075187,0.9909584086799277
Blocking probability per pair,2,all,3,1, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,2,all,7,10, ,0.06205673758865248,0.03136531365313653,0.05319148936170213,0.049557522123893805,0.06747404844290658,0.05434782608695652,0.03185840707964602,0.04788213627992634,0.03614457831325301,0.05263157894736842
Blocking probability per pair,2,all,6,11, ,0.3103448275862069,0.2808349146110057,0.29783393501805056,0.289568345323741,0.29246935201401053,0.27121771217712176,0.36288998357963875,0.2773972602739726,0.24508050089445438,0.3785211267605634
Blocking probability per pair,2,all,5,4, ,0.007532956685499058,0.0,0.0017123287671232876,0.008928571428571428,0.002109704641350211,0.0,0.001890359168241966,0.009727626459143969,0.009578544061302681,0.01079136690647482
Blocking probability per pair,2,all,8,5, ,0.18568994889267462,0.17335473515248795,0.20618556701030927,0.21052631578947367,0.21001926782273603,0.1884920634920635,0.21402877697841727,0.21606118546845124,0.2600671140939597,0.15700934579439252
